"Date (dd/mm/yy)","Generated (kWh)","Efficiency (kWh/kW)","Exported (kWh)","Peak Power (kW)","Peak Time (hh:mm:am/pm)","Weather Conditions (category)"
27/06/19,73.257,5.233,58.817,127999999999999,12:55PM,Fine
26/06/19,71.77,5.126,59.74100000000001,10.193999999999999,12:50PM,Fine
25/06/19,55.815,3.987,42.532,11.352,12:00PM,Partly Cloudy
24/06/19,74.225,5.3020000000000005,62.905,142,12:55PM,Fine
23/06/19,67.891,4.849,55.663000000000004,10.133,12:50PM,Partly Cloudy
22/06/19,58.84,4.203,45.926,11.512,12:40PM,Partly Cloudy
21/06/19,36.509,2.608,21.761,9.658999999999999,10:50AM,Mostly Cloudy
20/06/19,67.37100000000001,4.812,54.411,10.844000000000001,10:40AM,Partly Cloudy
19/06/19,72.618,5.187,59.675,9.911,12:55PM,Fine
18/06/19,67.54,4.824,53.915,10.222000000000001,12:40PM,Partly Cloudy
17/06/19,41.407,2.958,29.996,11.725,11:55AM,Mostly Cloudy
16/06/19,62.985,4.499,50.156000000000006,11.267000000000001,12:20PM,Partly Cloudy
15/06/19,72.309,5.165,58.825,127999999999999,12:15PM,Fine
14/06/19,74.163,5.297000000000001,59.181000000000004,10.175,1:10PM,Fine
13/06/19,71.906,5.136,59.771,10.156,12:50PM,Fine
12/06/19,72.557,5.183,58.336000000000006,9.72,1:10PM,Fine
11/06/19,67.82300000000001,4.845,53.325,106,12:45PM,Partly Cloudy
10/06/19,70.74600000000001,5.053,55.88,9.912,12:40PM,Fine
09/06/19,73.762,5.269,61.309,123,12:40PM,Fine
08/06/19,75.686,5.406000000000001,60.1,10.227,1:15PM,Fine
07/06/19,73.57300000000001,5.255,55.71,10.395999999999999,1:05PM,Fine
06/06/19,75.627,5.402,59.748999999999995,10.201,1:10PM,Fine
05/06/19,74.884,5.349,62.083999999999996,10.139,12:50PM,Fine
04/06/19,61.053999999999995,4.361000000000001,46.428999999999995,10.504000000000001,12:15PM,Partly Cloudy
03/06/19,51.391000000000005,3.6710000000000003,40.861,10.65,1:20PM,Partly Cloudy
02/06/19,42.97,3.069,29.885,11.033,1:35PM,Mostly Cloudy
01/06/19,50.958999999999996,3.64,20.34,11.107999999999999,1:50PM,Partly Cloudy
31/05/19,65.414,4.672,50.376999999999995,10.48,12:35PM,Partly Cloudy
30/05/19,77.59899999999999,5.542999999999999,66.097,10.375,12:10PM,Fine
29/05/19,77.842,5.56,64.19,10.437999999999999,1:00PM,Fine
28/05/19,78.02600000000001,5.5729999999999995,61.841,10.609000000000002,12:50PM,Fine
27/05/19,74.452,5.318,57.662,12.2,1:50PM,Fine
26/05/19,18.605999999999998,1.329,6.869,6.978,9:55AM,Cloudy
25/05/19,54.698,3.907,31.305,12.015,11:15AM,Partly Cloudy
24/05/19,77.923,5.566,63.964,10.716,12:55PM,Fine
23/05/19,34.071,2.434,22.857,11.828,1:55PM,Mostly Cloudy
22/05/19,48.482,3.463,27.729,12.214,1:05PM,Partly Cloudy
21/05/19,41.678000000000004,2.977,18.017,10.539000000000001,12:00PM,Mostly Cloudy
20/05/19,49.213,3.515,25.688000000000002,12.11,1:30PM,Partly Cloudy
19/05/19,32.808,2.343,13.357000000000001,9.488999999999999,3:05PM,Mostly Cloudy
18/05/19,71.97,5.141,52.55,10.995,1:05PM,Fine
17/05/19,68.02,4.859,49.37,12.172,12:30PM,Partly Cloudy
16/05/19,40.125,2.866,26.647,10.370999999999999,2:10PM,Mostly Cloudy
