DateTime,Generated,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith
2019-08-31 23:00:00+00:00,0.4831652576255133,31.8,106,0.0,13.5,86,880,545,631,19.6,32.8,0.0,975.5,273,3.8,52
2019-06-19 00:15:00+00:00,0.38940773691687824,26.4,80,0.0,13.0,56,911,453,509,15.5,43.5,0.0,975.5,251,3.3,60
2019-07-11 18:30:00+00:00,0.8099308288888372,28.4,-118,0.0,14.0,98,1000,941,1040,19.7,41.3,0.0,980.8,269,2.8,20
2019-06-03 23:00:00+00:00,0.6387730861494748,23.3,90,4.8,11.3,114,850,594,709,15.8,46.9,0.0,965.1,249,3.2,46
2019-06-30 15:30:00+00:00,0.31735643695026045,25.8,-83,0.0,11.8,85,860,483,568,13.5,41.7,0.0,976.5,232,3.6,56
2019-09-16 23:45:00+00:00,0.3360039127093183,26.8,103,0.0,11.1,79,753,312,391,24.9,37.4,0.0,976.9,254,3.1,66
2019-08-06 21:15:00+00:00,0.6679980746985894,30.3,123,1.6,14.8,150,856,772,922,36.9,38.9,0.0,976.9,253,4.1,26
2019-06-27 21:15:00+00:00,0.8412790833081025,26.0,109,0.0,12.1,55,1097,1013,1068,14.0,42.1,0.0,976.3,236,3.5,22
2019-09-24 18:15:00+00:00,0.7635955003842839,27.9,-147,0.0,10.5,114,921,730,845,22.5,33.7,0.0,977.5,309,1.7,38
2019-05-26 16:30:00+00:00,0.20544052914735542,13.3,-94,81.5,8.4,149,1,1,150,15.0,72.0,0.0,962.3,252,4.3,43
2019-05-24 21:15:00+00:00,0.8436003136378104,20.2,113,0.0,9.3,56,1098,994,1049,13.1,49.3,0.0,962.5,261,3.5,25
2019-06-10 21:45:00+00:00,0.6445722803176748,24.8,102,3.0,14.4,89,1003,873,962,20.7,52.2,0.0,975.6,235,1.9,29
2019-07-28 22:00:00+00:00,0.7094774514598908,28.9,106,0.0,15.7,106,923,776,882,24.9,44.7,0.0,978.6,253,3.5,33
2019-09-30 14:15:00+00:00,0.06472661496300781,13.9,-98,0.0,5.9,47,390,67,113,6.9,58.8,0.0,976.6,52,1.1,82
2019-09-18 01:45:00+00:00,0.0002328993641847358,23.0,86,0.0,12.8,3,8,1,4,14.6,52.5,0.0,978.2,261,2.8,91
2019-09-30 01:45:00+00:00,0.0002328993641847358,17.5,90,0.0,8.8,0,0,0,0,9.5,56.9,0.0,975.7,266,3.1,94
2019-07-19 15:15:00+00:00,0.18464649758172827,19.0,-83,33.9,15.0,244,141,70,314,16.5,77.9,0.0,979.1,276,1.4,60
2019-08-01 18:00:00+00:00,0.7469276692207963,27.7,-115,0.0,14.4,121,921,814,935,22.0,44.0,0.0,981.3,266,2.5,28
2019-10-13 17:30:00+00:00,0.6725861921730287,21.8,-140,0.0,9.9,86,956,630,716,9.1,46.9,0.0,976.8,245,2.1,49
2019-07-25 16:30:00+00:00,0.32884613891670744,25.0,-94,34.0,15.9,361,136,96,457,46.7,57.3,0.0,980.3,242,1.6,45
